match_id,team1_score,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,winner_slot,toss_winner_slot
392192,168,1,1,1,1,2,2,155.0,151.6,160.0,156.4,0.4,0.2,0.571,0.0,157.83,1.0,0.0,0.0,1,1
392194,149,0,2,0,2,1,4,134.0,144.0,134.2,161.2,0.0,0.5,0.6,0.333,133.0,0.0,0.0,0.0,0,1
392195,139,1,1,1,1,2,2,153.6,120.2,148.8,150.8,0.75,0.25,0.875,0.667,126.08,0.333,0.0,0.0,1,1
392196,165,1,1,1,1,2,3,156.8,143.4,153.6,147.2,0.5,0.6,0.4,0.333,158.88,1.0,0.0,1.0,0,0
392197,187,2,0,2,0,2,2,153.6,152.2,130.4,147.2,0.571,0.0,0.5,0.429,141.25,0.0,0.0,0.0,1,1
392198,143,1,2,1,2,4,2,132.6,160.2,135.2,134.4,0.6,0.333,0.875,0.667,0.0,0.0,0.0,0.0,0,1
392200,119,2,0,2,0,2,3,137.2,106.6,155.8,135.4,0.75,0.4,0.571,0.5,160.5,1.0,0.5,0.0,1,1
392199,139,2,0,2,0,2,1,120.0,154.6,139.4,148.8,0.5,0.429,0.0,0.4,153.33,1.0,1.0,0.0,0,1
392202,164,0,3,0,3,1,2,166.6,154.8,126.2,145.6,0.5,0.6,0.875,0.667,145.0,0.0,0.0,1.0,1,0
392201,148,0,2,0,2,4,3,154.4,146.0,125.4,154.4,0.5,0.333,0.6,0.25,145.0,0.0,0.0,0.0,0,0
392203,148,3,0,3,0,3,1,150.0,130.0,112.8,148.4,0.571,0.5,0.5,0.375,0.0,0.0,0.0,0.0,1,1
392204,145,0,3,0,3,1,3,141.4,165.0,138.6,106.6,0.0,0.4,0.75,0.5,151.57,1.0,0.5,0.667,1,1
392205,141,0,2,0,2,4,1,154.6,146.4,118.6,145.8,0.5,0.333,0.778,0.667,141.17,0.0,0.0,0.0,0,1
392206,163,1,2,1,2,2,4,166.8,147.2,138.0,145.6,0.5,0.6,0.667,0.25,0.0,0.0,0.0,0.0,1,0
392208,149,1,1,1,1,3,2,154.4,133.4,153.0,156.6,0.571,0.667,0.0,0.5,154.0,0.0,0.0,0.0,0,1
392207,153,2,1,2,1,1,3,120.4,157.2,145.2,124.0,0.5,0.375,0.75,0.5,141.25,0.0,0.0,0.0,0,1
392209,178,1,2,1,2,3,3,170.2,143.2,162.0,154.6,0.5,0.6,0.5,0.286,143.5,0.0,0.0,0.0,1,1
392210,211,1,2,1,2,2,4,135.4,147.4,144.4,138.8,0.778,0.667,0.75,0.5,150.25,1.0,0.0,0.5,1,0
392211,154,1,0,1,0,0,3,135.2,156.4,155.4,157.4,0.5,0.333,0.571,0.25,152.67,0.667,0.5,1.0,0,1
392212,145,2,1,2,1,2,2,145.2,158.2,151.2,134.2,0.5,0.286,0.571,0.5,146.33,0.5,0.0,0.0,1,1
392213,105,1,2,1,2,3,3,151.0,149.6,147.6,144.0,0.0,0.5,0.778,0.667,143.62,0.5,0.0,0.5,0,0
392214,185,3,0,3,0,3,3,170.0,145.8,136.4,147.4,0.5,0.667,0.6,0.5,136.1,0.667,1.0,0.0,1,1
392215,116,1,1,1,1,2,3,145.2,129.6,149.0,152.2,0.571,0.5,0.571,0.25,141.25,0.0,1.0,0.0,0,1
392216,168,0,2,0,2,2,2,140.6,152.2,143.4,162.0,0.5,0.375,0.6,0.5,0.0,0.0,0.0,0.0,0,0
