match_id,winner_slot,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,toss_winner_slot
1216507,0,157.63888888888889,0.1818181818181818,0.8,0.0,6.0,5.0,2.0,1.0,3,1,168.6,157.8,158.2,186.4,0.5555555555555556,0.4347826086956521,0.56,0.4242424242424242,1
1216540,1,174.36363636363637,0.375,0.5,0.5,10.0,14.0,1.0,2.0,2,4,154.8,177.8,172.0,165.2,0.492063492063492,0.4761904761904761,0.59375,0.53125,1
1216528,1,157.78947368421052,0.1818181818181818,0.5,0.6666666666666666,9.0,4.0,1.0,2.0,1,3,151.6,170.6,171.8,161.4,0.6363636363636364,0.625,0.5555555555555556,0.4166666666666667,1
1216543,1,157.75,0.1818181818181818,0.6666666666666666,0.3333333333333333,3.0,0.0,3.0,0.0,3,1,183.4,162.6,145.6,173.4,0.5555555555555556,0.3333333333333333,0.56,0.4242424242424242,1
1216531,0,172.58333333333334,0.375,0.6666666666666666,0.6666666666666666,12.0,13.0,2.0,1.0,3,0,171.8,159.0,167.6,192.6,0.492063492063492,0.5,0.4912280701754385,0.2222222222222222,1
1216526,0,150.85294117647058,0.4285714285714285,0.5714285714285714,0.6666666666666666,6.0,20.0,1.0,2.0,3,4,165.4,175.6,191.8,163.2,0.59375,0.53125,0.5636363636363636,0.5652173913043478,1
1216522,0,157.5952380952381,0.1818181818181818,0.25,0.4285714285714285,10.0,9.0,1.0,1.0,1,3,147.8,170.8,165.8,154.2,0.56,0.4242424242424242,0.492063492063492,0.4782608695652174,1
1216509,0,172.69230769230768,0.375,0.5,1.0,3.0,1.0,2.0,1.0,2,4,158.8,165.0,186.2,159.8,0.6363636363636364,0.6326530612244898,0.5555555555555556,0.5,1
1216533,0,151.3684210526316,0.375,0.5,0.4,14.0,8.0,2.0,1.0,2,1,163.2,169.2,152.4,175.0,0.6363636363636364,0.62,0.56,0.4117647058823529,1
1216546,0,159.2826086956522,0.1818181818181818,0.75,0.3333333333333333,1.0,1.0,1.0,1.0,4,1,177.6,153.6,165.0,178.6,0.5555555555555556,0.5,0.4912280701754385,0.2222222222222222,1
1216494,0,150.075,0.375,0.4444444444444444,0.5,14.0,11.0,1.0,2.0,2,3,150.8,165.0,170.0,158.8,0.59375,0.5151515151515151,0.492063492063492,0.4782608695652174,1
1216518,0,159.54166666666666,0.1818181818181818,0.2,0.5714285714285714,6.0,6.0,2.0,1.0,2,1,150.4,161.4,168.6,166.6,0.56,0.4117647058823529,0.5357142857142857,0.4166666666666667,0
1216521,0,173.35714285714286,0.375,0.3333333333333333,0.5,12.0,17.0,1.0,2.0,1,4,152.0,158.8,178.4,159.2,0.6363636363636364,0.6078431372549019,0.5636363636363636,0.5531914893617021,0
